ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","391021","Firstline supervisors of personal service workers",2016,"2016","true","true",6685,2007.314769095607,30486.840688107703,4771.281541233214,59,"firstline-supervisors-of-personal-service-workers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132053","Insurance underwriters",2016,"2016","true","true",1496,949.5947854187677,51990.46189839572,11111.581853631615,14,"insurance-underwriters","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119111","Medical & health services managers",2016,"2016","true","true",628638,19423.79791726362,83976.11851335745,2111.8685711285198,6314,"medical-health-services-managers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516031","Sewing machine operators",2016,"2016","true","true",1745,1025.5807676235984,15555.94670487106,8277.907832771734,15,"sewing-machine-operators","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","392021","Nonfarm animal caretakers",2016,"2016","true","true",3835,1520.3784842981574,21200.25710560626,3983.500450954912,41,"nonfarm-animal-caretakers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291123","Physical therapists",2016,"2016","true","true",235429,11902.901327897502,69182.18409796584,2086.358519593696,2349,"physical-therapists","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519080","Medical, dental, & ophthalmic laboratory technicians",2016,"2016","true","true",35941,4653.890401004615,35226.38485295345,4952.855665389556,336,"medical-dental-ophthalmic-laboratory-technicians","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","210000","Community & Social Service Occupations","212011","Clergy",2016,"2016","true","true",25216,3898.2994132992503,46578.64942893401,5572.268500409431,299,"clergy","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291124","Radiation therapists",2016,"2016","true","true",12772,2774.502608303331,78445.49177889133,6756.503226810542,140,"radiation-therapists","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499052","Telecommunications line installers & repairers",2016,"2016","true","true",821,703.4692381390674,28687.54202192448,18917.360088446447,10,"telecommunications-line-installers-repairers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","393031","Ushers, lobby attendants, & ticket takers",2016,"2016","true","true",4241,1598.8310016898401,20247.70808771516,25902.181475975347,51,"ushers-lobby-attendants-ticket-takers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113061","Purchasing managers",2016,"2016","true","true",19234,3404.7155647624672,65234.000311947595,7061.322579204668,194,"purchasing-managers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","172081","Environmental engineers",2016,"2016","true","true",877,727.0650112903298,48876.86545039909,26611.729640642865,8,"environmental-engineers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","393090","Miscellaneous entertainment attendants & related workers",2016,"2016","true","true",18449,3334.5222394476214,12522.625399750665,2865.3279732887772,220,"miscellaneous-entertainment-attendants-related-workers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","210000","Community & Social Service Occupations","212021","Directors, religious activities & education",2016,"2016","true","true",577,589.7416539582185,29221.6273830156,11976.571246219899,13,"directors-religious-activities-education","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291125","Recreational therapists",2016,"2016","true","true",12135,2704.4348535086137,39201.67564894932,4893.076984593302,110,"recreational-therapists","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131070","Human resources workers",2016,"2016","true","true",153917,9626.935296434227,52753.26721544729,2766.219669814328,1517,"human-resources-workers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132070","Credit counselors & loan officers",2016,"2016","true","true",18534,3342.1940000065842,38438.43984029351,3790.5553639264313,167,"credit-counselors-loan-officers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291126","Respiratory therapists",2016,"2016","true","true",114315,8297.658739084885,55302.983379259065,2009.065659090732,1096,"respiratory-therapists","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","395012","Hairdressers, hairstylists, & cosmetologists",2016,"2016","true","true",3432,1438.2794402305205,21336.792832167834,6815.122624200969,38,"hairdressers-hairstylists-cosmetologists","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","210000","Community & Social Service Occupations","212099","Religious workers, all other",2016,"2016","true","true",2962,1336.173523438277,27382.61647535449,8141.250884261387,28,"religious-workers-all-other","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113021","Computer & information systems managers",2016,"2016","true","true",78386,6871.901205162823,87740.95696935678,4560.992045578111,826,"computer-information-systems-managers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","49904X","Industrial & refractory machinery mechanics",2016,"2016","true","true",10505,2516.26917238811,48623.73231794384,5645.24073128868,101,"industrial-refractory-machinery-mechanics","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","395090","Miscellaneous personal appearance workers",2016,"2016","true","true",6309,1950.049337753348,29545.93406245047,6541.3615204768985,57,"miscellaneous-personal-appearance-workers","Educational Services, Health Care & Social Assistance","61-62","educational-services-health-care-social-assistance"
