ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","172061","Computer hardware engineers",2017,"2017","true","true",386,482.3561760290876,177977.1243523316,102078.50757577276,5,"computer-hardware-engineers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","172051","Civil engineers",2017,"2017","true","true",877,727.0650458056123,60590.631698973775,19499.82337281957,7,"civil-engineers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","171010","Architects, except naval",2017,"2017","true","true",1088,809.8183379533904,76697.01470588235,31622.572021330834,13,"architects-except-naval","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439021","Data entry keyers",2017,"2017","true","true",4980,1732.5353685733992,23205.18453815261,5376.02878961989,44,"data-entry-keyers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513011","Bakers",2017,"2017","true","true",48895,5427.940713975487,19668.82452193476,1710.2123118152479,421,"bakers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439011","Computer operators",2017,"2017","true","true",972,765.4317315060584,30533.746913580246,17844.61160341757,8,"computer-operators","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","299000","Other healthcare practitioners & technical Occupations",2017,"2017","true","true",2299,1177.1745511042707,39107.63592866464,24207.905102267607,24,"other-healthcare-practitioners-technical-occupations","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",2017,"2017","true","true",1871,1061.961817169812,46149.23997862106,26864.434358483286,14,"miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513020","Butchers & other meat, poultry, & fish processing workers",2017,"2017","true","true",7562,2134.921832981432,22996.50079344089,4469.505026739076,64,"butchers-other-meat-poultry-fish-processing-workers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","152031","Operations research analysts",2017,"2017","true","true",689,644.4412876677396,107545.59796806966,27639.798901585236,8,"operations-research-analysts","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","311010","Nursing, psychiatric, & home health aides",2017,"2017","true","true",2436,1211.7410470725908,17512.167077175698,7948.390675949506,12,"nursing-psychiatric-home-health-aides","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151199","Other Computer Occupations",2017,"2017","true","true",8742,2295.447204730421,80787.24662548616,18594.62498053954,90,"other-computer-occupations","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513091","Food & tobacco roasting, baking, & drying machine operators & tenders",2017,"2017","true","true",1028,787.1723028828658,10831.428988326848,5645.889413546449,9,"food-tobacco-roasting-baking-drying-machine-operators-tenders","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436010","Secretaries & administrative assistants",2017,"2017","true","true",67801,6391.357593406396,31680.359935694163,2554.0827365487876,719,"secretaries-administrative-assistants","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","319011","Massage therapists",2017,"2017","true","true",29321,4203.596685811338,30888.632788786195,5045.06418281028,278,"massage-therapists","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151150","Computer support specialists (Legacy)",2017,"2017","true","true",6862,2033.7147010358233,49762.46575342466,9201.813646339166,67,"computer-support-specialists-legacy","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151143","Computer network architects (Legacy)",2017,"2017","true","true",681,640.6890676635351,141933.22026431718,42888.98302285793,7,"computer-network-architects-legacy","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435111","Weighers, measurers, checkers, & samplers, recordkeeping",2017,"2017","true","true",1781,1036.105789063503,16976.506457046602,5035.44350226629,14,"weighers-measurers-checkers-samplers-recordkeeping","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","31909X","Healthcare support workers, all other, including medical equipment preparers",2017,"2017","true","true",1758,1029.3939458212028,22876.57053469852,4047.1645691387735,14,"healthcare-support-workers-all-other-including-medical-equipment-preparers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513092","Food batchmakers",2017,"2017","true","true",8808,2304.0954341678316,15189.154405086285,3489.606715354181,75,"food-batchmakers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151142","Network & computer systems administrators",2017,"2017","true","true",2184,1147.3551388141077,58082.80952380953,9320.184553020259,23,"network-computer-systems-administrators","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435081","Stock clerks & order fillers",2017,"2017","true","true",19931,3465.8519117571946,22835.09748632783,3370.221851566595,168,"stock-clerks-order-fillers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","331099","Firstline supervisors of protective service workers, all other",2017,"2017","true","true",5924,1889.6160757487637,43913.88791357191,8321.007755961098,66,"firstline-supervisors-of-protective-service-workers-all-other","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513093","Food cooking machine operators & tenders",2017,"2017","true","true",3702,1493.7830383008916,11727.607239330091,3845.4833853015525,28,"food-cooking-machine-operators-tenders","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435071","Shipping, receiving, & traffic clerks",2017,"2017","true","true",9399,2380.135962377314,26203.200446856048,3528.0844165549815,72,"shipping-receiving-traffic-clerks","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","332020","Fire inspectors",2017,"2017","true","true",611,606.8683182166308,26794.52209492635,13626.568332443578,6,"fire-inspectors","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151141","Database administrators",2017,"2017","true","true",1582,976.5077010949856,73715.93426042983,27683.128678852114,14,"database-administrators","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513099","Food processing workers, all other",2017,"2017","true","true",677,638.8046926205703,13854.484490398818,8011.830148244588,7,"food-processing-workers-all-other","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
"310000-390000","Service Occupations","330000","Protective service occupations","330000","Protective service occupations","333050","Police officers",2017,"2017","true","true",2763,1290.509302340137,49305.839667028595,20627.886633991395,32,"police-officers","Arts, Entertainment & Recreation and Accommodation & Food Services","71-72","arts-entertainment-recreation-and-accommodation-food-services"
