ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472080","Drywall installers, ceiling tile installers, & tapers",2018,"2018","true","true",684,642.0987375542456,32627.206140350878,16450.022133856753,11,"drywall-installers-ceiling-tile-installers-tapers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292090","Miscellaneous health technologists & technicians",2018,"2018","true","true",2613,1254.991164554489,75893.60619977038,24306.311659898372,29,"miscellaneous-health-technologists-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","299000","Other healthcare practitioners & technical Occupations",2018,"2018","true","true",1269,874.588427631618,69995.98266351457,22369.563033702518,16,"other-healthcare-practitioners-technical-occupations","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519120","Painting workers",2018,"2018","true","true",79129,6904.426933934538,39802.36713467882,2418.909046072584,743,"painting-workers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","311122","Personal care aides",2018,"2018","true","true",341,453.3686156245731,15202.401759530792,21529.857068757425,5,"personal-care-aides","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","311131","Nursing assistants",2018,"2018","true","true",1426,927.1125291285073,23749.310659186536,15413.413428783007,10,"nursing-assistants","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472070","Construction equipment operators",2018,"2018","true","true",4714,1685.6317422305367,62504.41175222741,9025.830858159652,56,"construction-equipment-operators","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472061","Construction laborers",2018,"2018","true","true",8787,2301.34807011681,37227.204848071015,6984.061738660992,75,"construction-laborers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"310000-390000","Service Occupations","310000","Healthcare Support Occupations","310000","Healthcare Support Occupations","319092","Medical assistants",2018,"2018","true","true",964,762.2753489585742,32609.322614107885,17946.468982052967,5,"medical-assistants","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519111","Packaging & filling machine operators & tenders",2018,"2018","true","true",252245,12320.24561197279,28513.543602449998,977.3209885212477,2028,"packaging-filling-machine-operators-tenders","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
