ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439081","Proofreaders & copy markers",2014,"2014","true","true",853,717.0475544755238,34407.50879249707,10070.228152768581,7,"proofreaders-copy-markers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439071","Office machine operators, except computer",2014,"2014","true","true",5562,1830.9718803992366,26072.338367493707,4689.871681141786,50,"office-machine-operators-except-computer","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439061","Office clerks, general",2014,"2014","true","true",120949,8534.720942278289,32960.51409271677,2150.9407032996883,1105,"office-clerks-general","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472031","Carpenters",2014,"2014","true","true",12566,2752.0347261658158,40339.86551010664,6630.530031067827,109,"carpenters","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439051","Mail clerks & mail machine operators, except postal service",2014,"2014","true","true",11743,2660.395358988424,27879.701524312357,2677.0972023511194,106,"mail-clerks-mail-machine-operators-except-postal-service","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439041","Insurance claims & policy processing clerks",2014,"2014","true","true",326728,14017.273964612688,38298.133891187776,1354.8732814511773,3039,"insurance-claims-policy-processing-clerks","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439022","Word processors & typists",2014,"2014","true","true",37884,4777.979153816536,33528.22091120262,2589.8638018178517,430,"word-processors-typists","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439021","Data entry keyers",2014,"2014","true","true",51602,5576.072926634769,29449.687260183713,1924.7351142397533,507,"data-entry-keyers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472061","Construction laborers",2014,"2014","true","true",7620,2143.0904181649335,34646.57244094488,6943.395252000191,64,"construction-laborers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439011","Computer operators",2014,"2014","true","true",15601,3066.386683456577,41452.583552336386,4496.804517207124,149,"computer-operators","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
