ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","537030","Dredge, excavating, & loading machine operators",2017,"2017","true","true",5126,1757.7476424836536,51563.45903238392,8668.780780343657,68,"dredge-excavating-loading-machine-operators","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151150","Computer support specialists (Legacy)",2017,"2017","true","true",3574,1467.732053556213,96121.80442081702,27189.94987481778,33,"computer-support-specialists-legacy","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","4520XX","Miscellaneous agricultural workers, including animal breeders",2017,"2017","true","true",737164,21026.668168460037,22760.473518782794,560.8379973458519,7364,"miscellaneous-agricultural-workers-including-animal-breeders","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151142","Network & computer systems administrators",2017,"2017","true","true",1438,931.0051594609594,89511.32127955493,13896.988881186533,12,"network-computer-systems-administrators","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","517041","Sawing machine setters, operators, & tenders, wood",2017,"2017","true","true",1341,899.0568954391621,29555.674869500373,11834.246559476775,18,"sawing-machine-setters-operators-tenders-wood","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","453000","Fishing & hunting workers",2017,"2017","true","true",16493,3152.828457173035,50969.287394652274,11727.152975115703,178,"fishing-hunting-workers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537051","Industrial truck & tractor operators",2017,"2017","true","true",10751,2545.5602744826806,29872.119430750627,3938.546653045209,94,"industrial-truck-tractor-operators","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","454011","Forest & conservation workers",2017,"2017","true","true",7145,2075.225864932192,29442.215955213436,5316.388216612123,82,"forest-conservation-workers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151141","Database administrators",2017,"2017","true","true",565,583.5769796980159,82661.56814159291,15532.344605632958,5,"database-administrators","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","454020","Logging workers",2017,"2017","true","true",31501,4357.0306700871315,40188.5935049681,7845.687695167839,338,"logging-workers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","15113X","Software developers, applications & systems software",2017,"2017","true","true",4684,1680.259332237489,126170.86827497865,26877.30963195299,40,"software-developers-applications-systems-software","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","471011","Firstline supervisors of construction trades & extraction workers",2017,"2017","true","true",57531,5887.638439711312,85363.71903843146,6160.179750824984,586,"firstline-supervisors-of-construction-trades-extraction-workers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151131","Computer programmers (Legacy)",2017,"2017","true","true",1077,805.7142172677574,70516.58588672237,25453.879479405005,13,"computer-programmers-legacy","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151121","Computer systems analysts (Legacy)",2017,"2017","true","true",2226,1158.3346993218643,107604.86388140162,20301.43552782447,25,"computer-systems-analysts-legacy","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514120","Welding, soldering, & brazing workers",2017,"2017","true","true",12526,2747.6571954525575,57694.79147373463,7103.046422688568,121,"welding-soldering-brazing-workers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472031","Carpenters",2017,"2017","true","true",1015,782.1792447433123,33885.29261083744,19227.939185938547,11,"carpenters","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537061","Cleaners of vehicles & equipment",2017,"2017","true","true",6201,1933.2877920188696,21861.65957103693,4289.388263968129,58,"cleaners-of-vehicles-equipment","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472061","Construction laborers",2017,"2017","true","true",2814,1302.3648564503756,37886.52665245203,8454.497264891692,21,"construction-laborers","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132051","Financial analysts",2017,"2017","true","true",1851,1056.270734000988,131232.22582387898,55327.54799051864,15,"financial-analysts","Agriculture, Forestry, Fishing and Hunting, and Mining","11-21","agriculture-forestry-fishing-and-hunting-and-mining"
