ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","172051","Civil engineers",2016,"2016","true","true",708,653.2664131403268,64014.57062146893,21672.218897203613,5,"civil-engineers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","474021","Elevator installers & repairers",2016,"2016","true","true",1033,789.0842528441035,58461.07550822846,35144.582661705754,10,"elevator-installers-repairers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","414010","Sales representatives, wholesale & manufacturing",2016,"2016","true","true",777322,21587.938572848536,74670.1692078701,1982.7826314289402,7704,"sales-representatives-wholesale-manufacturing","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119051","Food service managers",2016,"2016","true","true",799,693.9800006135572,51057.852315394244,36383.517494923144,6,"food-service-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","535020","Ship & boat captains & operators",2016,"2016","true","true",563,582.5431706043449,136631.07815275312,73610.05617701879,5,"ship-boat-captains-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112020","Marketing & sales managers",2016,"2016","true","true",54880,5750.423494665211,106102.42636661808,9761.38386494708,534,"marketing-sales-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131070","Human resources workers",2016,"2016","true","true",13157,2816.005798798779,77182.58181956373,14240.241538443643,136,"human-resources-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419010","Models, demonstrators, & product promoters",2016,"2016","true","true",4675,1678.6439281354371,25642.371764705884,10806.78444780541,34,"models-demonstrators-product-promoters","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132052","Personal financial advisors",2016,"2016","true","true",876,726.6503773077092,98576.84246575342,83942.83922350498,8,"personal-financial-advisors","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","512090","Miscellaneous assemblers & fabricators",2016,"2016","true","true",11543,2637.6481731533354,29491.977735424065,5509.527916424359,95,"miscellaneous-assemblers-fabricators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","273031","Public relations specialists",2016,"2016","true","true",653,627.3795725790416,222624.48698315467,188885.97241948612,8,"public-relations-specialists","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","518021","Stationary engineers & boiler operators",2016,"2016","true","true",1194,848.350145690408,59980.17922948074,46180.594977382534,10,"stationary-engineers-boiler-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419031","Sales engineers",2016,"2016","true","true",7159,2077.257077946316,135170.48316804023,27740.758337061936,61,"sales-engineers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","537021","Crane & tower operators",2016,"2016","true","true",3573,1467.526425677284,39842.675622726,5343.256140496073,26,"crane-tower-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","170000","Architecture & engineering occupations","172070","Electrical & electronics engineers",2016,"2016","true","true",2675,1269.7922047138613,102440.62542056075,15479.108797648045,30,"electrical-electronics-engineers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","273041","Editors",2016,"2016","true","true",952,757.5160012167611,46890.84033613445,17218.28626001707,9,"editors","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472211","Sheet metal workers",2016,"2016","true","true",877,727.0650112903298,50278.7582668187,16386.1970327259,14,"sheet-metal-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","419041","Telemarketers",2016,"2016","true","true",814,700.463879850584,42530.366093366094,16764.406051861726,9,"telemarketers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113071","Transportation, storage, & distribution managers",2016,"2016","true","true",42114,5037.616440043032,58792.02875528328,6761.092357621705,388,"transportation-storage-distribution-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
